FSHF;FF
FSP;FF
F088C;FFU
FFU;FFU
FFU B;FFU
FFU G;FFU
FFU N;FFU
FFU W;FFU
FGHF;FFU
FDTH;FGB
FG;FGB
FG  A;FGB
FG  B;FGB
FG  R;FGB
FGB;FGB
F715B;FH
F716A;FH
FC  A;FH
FGAU;FH
FGK;FH
FH  M;FH
FH  N;FH
FH  S;FH
FHN;FH
FHW;FH
FRW;FH
FWFG;FH
F188B;FKR
F189A;FKR
F191A;FKR
F192A;FKR
F198A;FKR
F199A;FKR
FIH;FKR
FKOA;FKR
FKR;FKR
FKR N;FKR
FKR S;FKR
FKR T;FKR
FKRB;FKR
FKW;FKR
FKWK;FKR
FKWNA;FKR
FKWNB;FKR
FNV;FKR
FOV;FKR
F011C;FMB
F012C;FMB
F013B;FMB
F014B;FMB
F171B;FMB
F172B;FMB
F176B;FMB
F179A;FMB
F182A;FMB
F519A;FMB
F718A;FMB
F719A;FMB
F720A;FMB
F721A;FMB
F753B;FMB
FA175;FMB
FA176;FMB
FHM;FMB
FKBW;FMB
FKBWO;FMB
FKOO;FMB
FKOS;FMB
FMB A;FMB
FMB M;FMB
FMB N;FMB
FMB O;FMB
FMB P;FMB
FMB W;FMB
FMG;FMB
FMK;FMB
FMM;FMB
FMN;FMB
FMS;FMB
FMWG;FMB
FMZ;FMB
FMZ A;FMB
FMZ G;FMB
FQKB;FMB
FQMS;FMB
FRUE;FMB
FRUO;FMB
FWB;FMB
FWB A;FMB
FWO;FMB
FWO A;FMB
FWO B;FMB
FWO G;FMB
H01AB;HA
HA;HA
HAAK;HA
HAAT;HA
HBUK;HA
HLAN;HA
YDFAB;HA
HBHP;HBHP
H175B;HBR
H176V;HBR
H183S;HBR
H184B;HBR
H185B;HBR
H186B;HBR
H193B;HBR
H194H;HBR
H195B;HBR
H196H;HBR
H201B;HBR
H203B;HBR
H204B;HBR
H205B;HBR
H206B;HBR
H208B;HBR
H302B;HBR
H304B;HBR
H957U;HBR
H974U;HBR
HB;HBR
HB  W;HBR
HBN;HBR
HBR A;HBR
HBR E;HBR
HBR F;HBR
HBR L;HBR
HBR M;HBR
HBR P;HBR
HBR W;HBR
HBSB;HBR
HBWA;HBR
HHAT;HBR
HUTB;HBR
HVAH;HBR
H2801;HBS
H2807;HBS
H2812;HBS
H2814;HBS
H2818;HBS
H2820;HBS
H2823;HBS
H2824;HBS
H3316;HBS
HBS;HBS
HBSR;HBS
HBUH;HBS
HGAA;HBS
HGGL;HBS
HGGLO;HBS
HLNT;HBS
HOKB;HBS
HSMK;HBS
HWEA;HBS
HWED;HBS
HXB;HBTH
HEBG;HEBG
HEBGN;HEBG
HEBGO;HEBG
HESW;HEBG
HE;HER
HEA;HER
HER;HER
HEVA;HER
HEVG;HER
HEVW;HER
HF;HF
HSF;HF
HWOB;HF
H626N;HG
HG;HG
HG  G;HG
HG  N;HG
HGRN;HG
HSIK;HG
H5142;HHI
H5143;HHI
H5146;HHI
H5149;HHI
H5150;HHI
H5542;HHI
H5543;HHI
H5548;HHI
H5549;HHI
H5550;HHI
H5551;HHI
HBNT;HHI
HEMK;HHI
HHI;HHI
HHI G;HHI
HHTA;HHI
HNOS;HHI
HROS;HHI
HSOR;HHI
HLER;HLER
HLERN;HLER
HLERW;HLER
H643B;HLI
H873W;HLI
H875L;HLI
H882L;HLI
H883W;HLI
H884L;HLI
H885L;HLI
H894L;HLI
HEMA;HLI
HHBO;HLI
HHML;HLI
HLI;HLI
HLI R;HLI
HWHN;HLI
HWU;HLI
HHRN;HO
HLRI;HO
HO  N;HO
HO  O;HO
HO  S;HO
HO  U;HO
HOHT;HO
HOR O;HO
HOR S;HO
HORP;HO
HSTA;HO
HSR;HSR
HSR O;HSR
HSR W;HSR
HU;HU
HU  G;HU
E002A;KAW
K0401;KAW
KA;KAW
KASZ;KAW
KAW G;KAW
KAW P;KAW
KAW W;KAW
E513B;KG
K  1K;KG
K  3K;KG
K 210;KG
K 2KA;KG
K 4KA;KG
K 516;KG
K 613;KG
K 614;KG
K 714;KG
K006K;KG
K0220;KG
K0231;KG
K0748;KG
K0750;KG
K0751;KG
K263S;KG
K264S;KG
K7700;KG
K7703;KG
K7704;KG
KFNW;KG
KG  A;KG
KG  C;KG
KG  F;KG
KG  G;KG
KG  H;KG
KG  P;KG
KG  R;KG
KGN;KG
KGS;KG
KHOS;KG
KK;KG
KKA;KG
KKANE;KG
KKANM;KG
KKANN;KG
KKANO;KG
KKANP;KG
KKANR;KG
KKANS;KG
KKANW;KG
KKAS;KG
KKASS;KG
KKB;KG
KKBI;KG
KKBM;KG
KKBT;KG
KKDT;KG
KKDZ;KG
KKE A;KG
KKE B;KG
KKE F;KG
KKE K;KG
KKE M;KG
KKE N;KG
KKE O;KG
KKE S;KG
KKEG;KG
KKERG;KG
KKERP;KG
KKGU;KG
KKL;KG
KKM;KG
KKM A;KG
KKM B;KG
KKM G;KG
KKMN;KG
KKN B;KG
KKN E;KG
KKN F;KG
KKN G;KG
KKN P;KG
KKN W;KG
KKNA;KG
KKS;KG
KKSA;KG
KKW;KG
KKW F;KG
KKW S;KG
KSBR;KG
KSTA;KG
KVI;KG
YKKEZ;KG
K001A;KKOL
K002A;KKOL
K013G;KKOL
K044B;KKOL
KHBR;KKOL
KKO;KKOL
KKOB;KKOL
KKOL;KKOL
KKOLM;KKOL
KKOLN;KKOL
KKOM;KKOL
KKSM;KKOL
KNL;KKOL
KNL N;KKOL
KPFD;KKOL
YFFNL;KKOL
KXKK;KXKK
XN607;KXKK
XN612;KXKK
XN613;KXKK
XNVL;KXKK
XNVLO;KXKK
LB;LB
LB  G;LB
LBT;LBT
LBTA;LBT
LBTS;LBT
BWK;LF
LF;LF
LF  F;LF
LF  L;LF
LF  N;LF
LF  O;LF
LF  S;LF
LF  U;LF
LF  V;LF
LF  W;LF
LGC;LGC
L7280;LHG
L7472;LHG
L7473;LHG
L9315;LHG
L9316;LHG
L9334;LHG
L9352;LHG
LAG;LHG
LAG O;LHG
LH;LHG
LHAC;LHG
LHAD;LHG
LHAL;LHG
LHAT;LHG
LHG;LHG
LHG D;LHG
LHG M;LHG
LHG U;LHG
LHG W;LHG
LHG Y;LHG
LHGB;LHG
LHM;LHG
LHNW;LHG
LHNWO;LHG
LHS;LHG
LHS D;LHG
LHSS;LHG
LHW;LHG
LHWW;LHG
LKAN;LHG
LPE;LHG
LRO;LHG
LSUE;LHG
LSUEA;LHG
LZBR;LHG
L3220;LM
L3222;LM
L3223;LM
L3224;LM
L3225;LM
L3226;LM
L3227;LM
L3229;LM
L3314;LM
L3315;LM
L3316;LM
L3317;LM
L5115;LM
L5116;LM
L5117;LM
L5118;LM
L5511;LM
L5512;LM
L5517;LM
L5518;LM
L7011;LM
L7012;LM
L7013;LM
L7014;LM
L7016;LM
L7018;LM
LBAS;LM
LBRC;LM
LBZ;LM
LGLB;LM
LM;LM
LM  S;LM
LMB;LM
LMB B;LM
LMB F;LM
LMEU;LM
LMGE;LM
LMGH;LM
LMHR;LM
LMN;LM
LMR;LM
LMR F;LM
LMRH;LM
LMS;LM
LMSA;LM
LMSO;LM
LMTW;LM
LSB;LM
LSB G;LM
LSBO;LM
LWLS;LM
L2498;LR
L2499;LR
L2625;LR
L2626;LR
L2627;LR
L2628;LR
L2629;LR
L2630;LR
L2631;LR
L2632;LR
LD;LR
LD  G;LR
LKK;LR
LMEI;LR
LR;LR
LRAI;LR
LRAW;LR
LRG;LR
LRG O;LR
LROD;LR
LRVB;LR
LTHI;LR
L2592;LS
L2594;LS
L901S;LS
L902S;LS
LBIN;LS
LDK;LS
LKD;LS
LKD H;LS
LMGN;LS
LS;LS
LS  G;LS
LSFD;LS
LSTL;LS
L5121;LWI
L5122;LWI
L5123;LWI
L5125;LWI
L5126;LWI
L5413;LWI
L5423;LWI
L5433;LWI
L5514;LWI
L5524;LWI
L5534;LWI
L6011;LWI
L6012;LWI
L6013;LWI
L6014;LWI
L6111;LWI
L6112;LWI
L6113;LWI
L6114;LWI
LACF;LWI
LBOR;LWI
LE;LWI
LE  H;LWI
LE  K;LWI
LE  V;LWI
LEO;LWI
LGE;LWI
LGW;LWI
LL;LWI
LL  N;LWI
LL  P;LWI
LL  T;LWI
LL  V;LWI
LLA;LWI
LLAN;LWI
LLB;LWI
LLBB;LWI
LLC;LWI
LLEL;LWI
LLG;LWI
LLH;LWI
LLIN;LWI
LLMK;LWI
LLMO;LWI
LLN;LWI
LLP;LWI
LLPDH;LWI
LLS;LWI
LLST;LWI
LLT;LWI
LLVD;LWI
LLW;LWI
LLW L;LWI
LLW U;LWI
LLW V;LWI
LLWP;LWI
LMA;LWI
LMAG;LWI
LMAM;LWI
LMAN;LWI
LMAW;LWI
LMDR;LWI
LNW;LWI
LNW H;LWI
LNW N;LWI
LNW S;LWI
LSEH;LWI
LSEL;LWI
LSVS;LWI
LTA;LWI
LWI;LWI
YLLWI;LWI
MA;MA
MA  B;MA
MA  M;MA
MA  N;MA
MA  S;MA
MAHA;MA
MAHI;MA
MAHZF;MA
MAMS;MA
MAOB;MA
MIH;MIN
MIN;MIN
M 212;MN
M 213;MN
M 236;MN
M 239;MN
M 502;MN
M 839;MN
M 901;MN
M 902;MN
M121C;MN
M123B;MN
M124B;MN
M132A;MN
M133A;MN
M134A;MN
M135A;MN
M137A;MN
M205B;MN
M206B;MN
M207B;MN
M208B;MN
M209B;MN
M210B;MN
M211B;MN
M216A;MN
M221A;MN
M223A;MN
M224B;MN
M232B;MN
M233B;MN
M234A;MN
M235A;MN
M237A;MN
M238A;MN
M263A;MN
M419C;MN
M422C;MN
M503A;MN
M513A;MN
M514A;MN
M515A;MN
M516A;MN
M523A;MN
M524A;MN
M836B;MN
MAFB;MN
MALS;MN
MAOZ;MN
MDFG;MN
MEGS;MN
MFAS;MN
MFE;MN
MFM;MN
MGI;MN
MGRZ;MN
MJK;MN
MKF;MN
MLEU;MN
MLO;MN
MLR;MN
MLR O;MN
MLR W;MN
MLW;MN
MMAL;MN
MMAR;MN
MMBH;MN
MMCH;MN
MN  A;MN
MN  B;MN
MN  D;MN
MN  E;MN
MN  F;MN
MN  L;MN
MN  M;MN
MN  R;MN
MN  S;MN
MN  T;MN
MOL;MN
MOP;MN
MOP A;MN
MOP H;MN
MOP L;MN
MOP R;MN
MOP W;MN
MOR;MN
MP;MN
MP  N;MN
MP  P;MN
MP  R;MN
MP  W;MN
MPG;MN
MPGO;MN
MRI P;MN
MRI W;MN
MS;MN
MTR;MN
MWTR;MN
YMMOL;MN
MARS;MRO
MART;MRO
MRO;MRO
M 459;MTL
M 476;MTL
M 478;MTL
M 663;MTL
M 664;MTL
M 665;MTL
M 672;MTL
M 696;MTL
M 699;MTL
M457A;MTL
M673A;MTL
M674A;MTL
MOTW;MTL
MPP;MTL
MTL;MTL
N 411;MTL
N 412;MTL
N 413;MTL
N 414;MTL
N 415;MTL
N 416;MTL
N 513;MTL
N 514;MTL
NWG;MTL
FKO;NAH
FMAA;NAH
FMAS;NAH
FSTE;NAH
FSTK;NAH
N903A;NAH
N904A;NAH
NAH;NAH
NAH A;NAH
NAH E;NAH
NAH G;NAH
NBA;NBA
NHAL;NBA
NHN;NBA
NF;NF
NF  G;NF
N 207;NGM
N 208;NGM
N 255;NGM
N 257;NGM
N 258;NGM
N 927;NGM
N 928;NGM
N 966;NGM
N205B;NGM
NBNB;NGM
NGM;NGM
NGM S;NGM
NLP;NGM
NMUB;NGM
NNAN;NGM
NRB;NGM
NRCK;NGM
NSB;NGM
NZG;NGM
NHEIW;NHEIW
NLA;NLA
N  69;NNR
N 174;NNR
N 175;NNR
N 354;NNR
N 355;NNR
N 356;NNR
N 357;NNR
N 58C;NNR
N 61C;NNR
N 62E;NNR
N 64B;NNR
N 821;NNR
N 902;NNR
N 905;NNR
N 983;NNR
N 984;NNR
N 985;NNR
N 986;NNR
N202C;NNR
N203B;NNR
N352A;NNR
N353A;NNR
N652A;NNR
N653A;NNR
N654A;NNR
N655A;NNR
N771A;NNR
N773A;NNR
N775A;NNR
NDHF;NNR
NDTH;NNR
NFIH;NNR
NFIN;NNR
NFT;NNR
NGLH;NNR
NHMA;NNR
NN;NNR
NND;NNR
NNEI;NNR
NNLW;NNR
NNMO;NNR
NNMV;NNR
NNO;NNR
NNOS;NNR
NNR A;NNR
NNR B;NNR
NNR E;NNR
NNRF;NNR
NNST;NNR
NNSW;NNR
NRWD;NNR
NSTD;NNR
NPA;NPA
NPA G;NPA
NPR;NPR
N 1I;NROB
NBWH;NROB
NHUE;NROB
NOT;NROB
NRAZ;NROB
NRH;NROB
NRH B;NROB
NROB;NROB
NROS;NROB
N 119;NWH
N 11E;NWH
N 120;NWH
N 123;NWH
N 124;NWH
N 125;NWH
N 126;NWH
N 12E;NWH
N 13E;NWH
N 14E;NWH
N 848;NWH
N 898;NWH
N 933;NWH
N 934;NWH
N 935;NWH
N 936;NWH
N 953;NWH
N 955;NWH
N 956;NWH
N 957;NWH
N 973;NWH
N117A;NWH
N118A;NWH
N121A;NWH
N122A;NWH
N952A;NWH
N954A;NWH
NRTD;NWH
NVE;NWH
NWH;NWH
NWH F;NWH
NWHO;NWH
NWHW;NWH
NWHWU;NWH
NWR A;NWH
NWR U;NWH
NWS;NWH
NWZ;NWH
R 81F;RFG
R429F;RFG
R430F;RFG
R431F;RFG
R432F;RFG
R434F;RFG
R435F;RFG
R505F;RFG
R506F;RFG
RF;RFG
RFG;RFG
RFGS;RFG
RFHE;RFG
RFK;RFG
RFMU;RFG
RFSG;RFG
RFZ;RFG
RGDN;RFG
RLS;RFG
R341K;RKR
R342K;RKR
R347K;RKR
R348K;RKR
R357K;RKR
R358K;RKR
RBRU;RKR
RDA;RKR
RK;RKR
RK  A;RKR
RKDU;RKR
RKHA;RKR
RKR;RKR
RKUW;RKR
RKW;RKR
R  4L;RM
R 14L;RM
R 15L;RM
R1286;RM
R1287;RM
R1289;RM
R201M;RM
R203M;RM
R204M;RM
R205M;RM
R206M;RM
R609M;RM
R611M;RM
R612M;RM
R613M;RM
R614M;RM
R621M;RM
R622M;RM
R623M;RM
R624M;RM
R855H;RM
R856H;RM
R955H;RM
R956H;RM
R957H;RM
R958H;RM
RH;RM
RHBP;RM
RHBW;RM
RL;RM
RL  G;RM
RL  K;RM
RL  N;RM
RL  S;RM
RL  T;RM
RLB G;RM
RLB U;RM
RLB W;RM
RLO;RM
RLSM;RM
RLUM;RM
RM;RM
RM  O;RM
RMF;RM
RMFE;RM
RMFS;RM
RMHH;RM
RMKL;RM
RMLB;RM
RMNS;RM
RMR A;RM
RMR D;RM
RMR E;RM
RMR G;RM
RMR K;RM
RMR M;RM
RMR N;RM
RMR W;RM
RMSE;RM
RMSM;RM
RMW;RM
RMW G;RM
RQL;RM
RQLM;RM
RRE;RM
RRK;RM
RZHB;RM
RO;ROG
RO  N;ROG
RO  S;ROG
ROG A;ROG
ROG E;ROG
RWAE;ROG
R761B;RW
RB;RW
RBA A;RW
RBA C;RW
RBA G;RW
RHL;RW
RQBA;RW
RQW;RW
RW;RW
RXBA;RW
RXBH;RW
RXBR;RW
RXKL;RXKL
S031B;SEG
S032A;SEG
SEG;SEG
SEG M;SEG
SEG N;SEG
SEG O;SEG
SEG S;SEG
SPF;SEG
STR;SEG
STR N;SEG
STRS;SEG
SDUW;SSR
SJF;SSR
SSB;SSR
SSBA;SSR
SSDM;SSR
SSH;SSR
SSH G;SSR
SSH O;SSR
SSH R;SSR
SSH S;SSR
SSH W;SSR
SSHI;SSR
SSLM;SSR
SSR G;SSR
SSR M;SSR
SSR N;SSR
SSR O;SSR
SSR W;SSR
SXSD;SSR
XFFB;SSR
XFSW;SSR
SXPE;SXPE
T252L;TK
T413S;TK
T414S;TK
T611V;TK
T715L;TK
T911W;TK
T914W;TK
TK  A;TK
TK  N;TK
TK  O;TK
TK  S;TK
TK  W;TK
TKAH;TK
TKH;TK
TKO;TK
TLU;TK
TNW;TK
TSEB;TK
TSM;TK
TSNA;TK
TSU;TK
TSU F;TK
TSU P;TK
TSZ;TK
TSZ E;TK
TSZ F;TK
TSZA;TK
TSZAH;TK
MNM;TU
TKIE;TU
TQUF;TU
TQUR;TU
TU;TU
TU  B;TU
TU  N;TU
TU  O;TU
TU  R;TU
TUSO;TU
TUSOW;TU
UBS;UGHO
UGH;UGHO
UGHO;UGHO
UGHS;UGHO
UQGH;UGHO
UQSK;UGHO
USK;UGHO
UPR;UPR
US;US
WHL;WHL
WHO;WHO
WBE;WRS
WDF;WRS
WDF N;WRS
WKV;WRS
WR;WRS
WRD;WRS
WRK;WRS
WRKD;WRS
WRS;WRS
WRSS;WRS
WWBO;WRS
WWBW;WRS
WSD;WSD
WW;WW
WW  N;WW
XAKN;XAKN
XASB;XASB
XT117;XTD
XT126;XTD
XT217;XTD
XT226;XTD
XTD;XTD
XTD Z;XTD
XTDN;XTD
XTDP;XTD
XTDPR;XTD
XTDV;XTD
XTDVH;XTD
