"STA";"SEL";"ID_F1";"TZF_F1";"NUM_TFZ_F1";"TOTALWEIGHT_F1";"VMAX_F1";"BREAKCLASS_F1";"BrH_F1";"LZB_F1";"T10WithI_F1";"ID_F2";"TZF_F2";"NUM_TFZ_F2";"TOTALWEIGHT_F2";"VMAX_F2";"BREAKCLASS_F2";"BrH_F2";"LZB_F2";"T10WithI_F2";"ID_F3";"TZF_F3";"NUM_TFZ_F3";"TOTALWEIGHT_F3";"VMAX_F3";"BREAKCLASS_F3";"BrH_F3";"LZB_F3";"T10WithI_F3"
"183";"63048#65184";63048;"185-2";1;1600;100;"P";53;"FALSE";606,720617351246;65184;"221-1";1;1000;80;"P";45;"FALSE";848,230742019895;"";"";"";"";"";"";"";"";""
"185";"3757#5870";3757;"152-3";1;1600;100;"P";62;"FALSE";517,588173854945;5870;"185-2";1;2200;80;"P";55;"FALSE";637,162744175789;"";"";"";"";"";"";"";"";""
"191";"3757#6356";3757;"152-3";1;1600;100;"P";61;"FALSE";517,588173854945;6356;"185CL1-1";1;1700;90;"P";70;"FALSE";554,019534373292;"";"";"";"";"";"";"";"";""
"195";"3757#6356";3757;"152-3";1;1600;100;"P";61;"FALSE";517,588173854945;6356;"185CL1-1";1;1700;90;"P";70;"FALSE";554,019534373292;"";"";"";"";"";"";"";"";""
"195B";"3757#6356";3757;"152-3";1;1600;100;"P";61;"FALSE";517,588173854945;6356;"185CL1-1";1;1700;90;"P";55;"FALSE";554,019534373292;"";"";"";"";"";"";"";"";""
"201";"5202#678";5202;"182-1";1;1700;100;"P";54;"FALSE";530,409922745475;678;"1144-1";1;1300;90;"G";56;"FALSE";608,083668706009;"";"";"";"";"";"";"";"";""
"203";"5202#678";5202;"182-1";1;1700;100;"P";62;"FALSE";530,409922745475;678;"1144-1";1;1300;90;"G";55;"FALSE";608,083668706009;"";"";"";"";"";"";"";"";""
"203B";"5202#678";5202;"182-1";1;1700;100;"P";62;"FALSE";530,409922745475;678;"1144-1";1;1300;90;"G";62;"FALSE";608,083668706009;"";"";"";"";"";"";"";"";""
"209";"5202#2117";5202;"182-1";1;1700;100;"P";67;"FALSE";530,409922745475;2117;"145-2";1;2700;80;"G";47;"FALSE";776,295597576302;"";"";"";"";"";"";"";"";""
"221";"3757#5870";3757;"152-3";1;1600;100;"P";61;"FALSE";517,588173854945;5870;"185-2";1;2200;80;"P";53;"FALSE";637,162744175789;"";"";"";"";"";"";"";"";""
